Category,Question,Answer
Investors,Who are the members of ECMS's management team?,Biographies of ECMS's management team members can be found at ​here https://www.orange.eg/en/about/company-overview/executive-management/vice-presidents/vice-presidents
Careers,Why are we leaders?,"During 17 years of operation, Orange has thrived to maintain a leading position in the Egyptian market in general and in the Telecommunication sector in particular.

Competition made us more willing to achieve and maintain this leadership. Advanced technology, value added services, organized operations, efficient management and professional employees have all contributed to establishing a strong and unique corporate culture that we are all proud of. We are not only business Cloudn, but we also have a significant role to play in the society to make it better."
Careers,What makes Orange a distinguished employer?,"Our employees are the key asset of the business and the driving force of our continuous growth. Their contribution to Orange success is always recognized and appreciated.

In return, Orange provides a challenging and dynamic work environment for these employees with vast opportunities for acquiring knowledge and new skills.

Investing in our human assets stops at no end to ensure that they develop and keep pace with the rapidly changing telecommunication industry.

Our employees enjoy competitive compensation and an array of exclusive benefits designed to keep them motivated and satisfied.

On the other hand, Orange has established a unique corporate culture where by every member is committed to promote innovation, cooperation and team spirit within the entire company.
"
Careers,How do we empower our employees?,"To maintain our distinguished position, we strongly believe in the value of training to develop employees' knowledge and competencies to achieve higher standards of performance.

Methods of development include on-the-job competency development through coaching and learning, as well as off-site training in the form of formal training sessions, workshops and seminars both in Egypt and abroad.

Job rotation, job enrichment and empowerment are also among the methods we apply to further develop efficient employees and prepare them for greater responsibilities or future business needs.
"
Careers,What else is there to benefit?,"When you join Orange, you join a big family where everyone brings value on both the business and personal levels.

Supported by the trust of management, you will have enough room to show your creativity and skills.

Join us and achieve your full potential and embark on an exciting journey to your future with Orange."
Online Shopping,How can I shop online?,"On Orange Online Shop, all what you need to do is to click on what you choose from our wide range catalogue and to add it to your cart, then to proceed with the advised steps on the whole checkout scenario.

​
Check the Shop Catalogue using this link https://www.orange.eg/en/shop/Pages/Default.aspx"
Online Shopping,What is the maximum number of items I can put in the cart?,There is no maximum number of items you can purchase online from Orange Online Shop.​
Online Shopping,What happens when I place an order online?,You will be waiting for a confirmation call from the Online Shop team within one working day; order will be delivered within three working days starting from the su​ccessful confirmation call.
Online Shopping,What’s the payment method I can use to purchase online?,Cash on Delivery & Credit Card payment are the current available payment method while soon there'll be other meth​ods.
Online Shopping,Do Shipping Fees apply?,"Orange does not apply Shipping Fees for orders with value more than EGP 250.

For orders with value less than EGP 250, Shipping Fees applies with amount range from 22 and 44 Egyptian Pounds upon the address; which will be clearly mentioned on the checkout scenario."
Online Shopping,Can I order a device for someone else?,"It's possible for cash on delivery , as whoever the receiver at the written address will be responsible to pay the full amount."
Online Shopping,Can I modify my order after submission?,"No, once you have submitted your order and it has been confirmed by the system, and once order status is ""Shipping"", you can neither change nor cancel it. Otherwise, it would be impossible for us to cope with all the orders logistically - thank you for your understanding."
Online Shopping,How can I track my orders?,"Once you log in to your own account, you can press Track my Orders using this link https://www.orange.eg/en/shop/pages/order-history.aspx"
Online Shopping,How long should it take to activate the purchased line?,"Prepaid internet purchased lines are activated once you receive the shipment.

Prepaid voice purchased lines will be activated once you make a confirmation call from the same purchased SIM card to the customer service short no. 110.

Postpaid voice and internet purchased lines are being activated within two working days."
Online Shopping,What is the refund process?,"In case you want to refund your purchased product, you are kindly advised to visit one of our main ​Orange shops if it's within 14 days from the invoice date while you can refer to the Warranty Supplier with a year from the invoice date. For return and cancelling conditions, please refer back to our Terms and Conditions."
Enviromental Issues,Do cellular phone towers cause cancer?,"The consensus of the international scientific community is that the power from mobile phone base station antennae is far too low to produce health hazards.

Nothing has been proven negative so far despite the extensive amount of research made around the subject.

It is essential however for people to keep their distance from the base station antennae and not the structures supporting them."
Enviromental Issues,Are there any damaging health hazards from mobile phone waves?,"Mobile phone networks operate using electromagnetic waves within the non-ionizing radiation range which is scientifically acknowledged as not causing harmful biological effect on human beings.

This fact is confirmed by all international specialized organization, most importantly is the World Health Organization [WHO]; which announced that there is no proof of any harmful effects on human health due to the use of mobile phone or being around or below mobile network base stations."
Enviromental Issues,Do mobile phones affect fertility rates or does it cause sterility?,Sterility cases were never reported as a result of using mobile phones or living near base stations' antennae. Medical reports that indicated a link between m​icrowaves and a decrease in fertility were about some soldiers subjected to large doses of radar waves for long durations.
Enviromental Issues,Do cellular phone towers cause any other health problems?,"While high levels of radiofrequency waves can cause warming of tissues, cellular phone towers do not yield exposure at levels sufficient to cause this effect. There is no evidence in any published scientific report that cell phone towers cause any other health problems.

The world health organization has stated that there are soundly based, clearly established guidelines for human exposure to EMF. It further stated that: 'for most of us, exposure to EMF is well below these guideline levels. No adverse effect was found in people exposed to everyday background levels'."
Enviromental Issues,What about the negative health reports that were published by some Egyptian and international newspapers?,"According to most international institutions, no one was able prove such effects in an independent laboratory. There were experiments made on rats but the same results cannot be applied to human beings due to major differences in the response of the human body to electro magnetic waves. Furthermore, experiments on rates used extremely high dosages and for long periods of time."
Enviromental Issues,Which is more powerful? Mobile handsets or radio base stations?,"The power from most radio base stations is greater than that of a mobile phone handset; however exposure from a handset is inevitably higher due to the person's close proximity to it.
"
Enviromental Issues,Why are people asked to switch off their mobile at gas stations?,Basically to avoid electromagnetic interferences with gas meters due to the energy emitte​d by mobile phones during operation.
Enviromental Issues,Does medical hearing aids or pace maker get affected with mobile phone?,"When mobile phones are used close to medical devices [like pacemakers, implantable defibrillators, and certain hearing aids] there is a possibility that it would cause interference.

People using such medical devices should read their manuals and familiarize themselves with any precautions required."
Enviromental Issues,What are the global recommendations for base stations and mobile phone safe usage?,"Rationalize mobile phone use by pregnant women.
Restrict newly born babies from playing with handsets or putting its antennae in mouth or ears.
Make sure that ​children use their mobile phones in a proper way.
Minimize phone call durations.
Maintain a distance buffer around the base station antennae: Six meters in the direction facing the antennae and two meters from the sides and back."
Enviromental Issues,Are there any health risks caused by the installation of a cellular tower in the immediate area?,"No, The radiation level at the ground is usually thousands of times less than safety limits. There is no reason to believe that such towers can pose a potential health hazard to residents.

​"
Enviromental Issues,What do I do if I’ve been exposed to cellular phone towers?,"As previously mentioned, cell phone towers pose little risk under ordinary conditions. However, if there is a cellular phone tower mounted near your home or office, you can ask a government agency to measure the radiofrequency field strength near the tower to ensure that it is within the acceptable range."
Enviromental Issues,Why can't the base stations be built away from residential area?,Because both the mobile phone and base station operates at low power level. The base station needs to be close to the area where people wish to use mobile phones​.
Enviromental Issues,Does the presence of a base station on top of a building create reason to worry for the residents of that building?,"No. Since the antennae emit electromagnetic waves in horizontal directions only; the least affected persons by radiation are those who are actually living inside the building in question.

Moreover, the concrete roofs on top of the buildings on which the antennae are mounted absorb most the waves that may reach them.

​"
Enviromental Issues,Will Orange look at every base station in the country?,"Yes, Orange has a specialized team working under the supervision of The National Telecommunication Regulatory Authority [NTRA] to measure sites and ensure their compliance to national and International standards. The measurements are made according to a set yearly plan; any non-conformances are corrected immediately."
Enviromental Issues,Is there any government supervision exercised on mobile phone networks?,"Yes, there is strict supervision from various government entities on mobile networks as is the case for all communication bodies and networks in Egypt.

The National Telecommunication Regulatory Authority (NTRA) is responsible for reviewing all network components prior to issuing their licenses. It is also responsible for issuing protocols for installation of mobile network base stations anywhere in the nation as well as conducting measurement checks on existing base stations to ensure their compliance.

The Ministry of health is also involved in dictating health conditions to ensure safety of human beings around or below mobile base stations on a regular basis. The Ministry of the Environment sets environmental conditions for all base stations whether previously or currently installed and offers a licensing procedure for them.

It is worth noting that all measurements made on base station antennae radiation are often much lower than the permissible national and international limits of [0.4 MW/ cm2]."
Enviromental Issues,So why worry?,"Due to the heavy presence of base stations mostly through urban areas, some degree of concern is expected; especially at the infancy of this technology.

We expect that after some time; people will be accustomed to its presence and we are confident that the government will continue its supervisory role to ensure safety of its citizens.

​"
Block,How can I subscribe to the Block service?,"​​Send an empty message to 505 for free
Call 505 for free​
Dial #505# for free"
Block,Is the Block service available for everyone?,"Yes, this service is available for all Orange customers."
Block,How can I add someone to the Black list?,By dialing #505*1*number#​
Block,How can I add someone to the White list?,By dialing #505*2*dial#​
Block,How Can I activate the Do not disturb option?,By dialing #505*3#​
4G,When will 4G be available where I live?,The 4G network is available in many places all over Egypt and We are working hard to make it available in more and more places over time​.​​
4G,How can I know if my device and my SIM are 4G enabled?,"You can check if it is compatible with 4G or not, by entering your number in ​this page https://www.orange.eg/en/help/faq-details?category=34&Q=407#WebPartWPQ6​ or by calling #40# ​for free.

You can replace your current SIM card with a 4G enabled one from the nearest ​Orange shop https://www.orange.eg/en/find-store, free of charge.

​​
Note: If you are buying a new line, it will cost you the line current selling price.

​"
4G,How will I know if I am connected to 4G network?,You will see the 4G or LTE icon displayed on your device when you are connected to 4G network services. This will automatically happen when your device and SIM card are 4G enabled while you are in an area covered with 4G network.​
4G,What’s in it for me?,"4G will provide you with the best and fastest Internet experience. You will enjoy streaming more videos, downloading, uploading more content, as well as better experience while playing games online. No more buffering, or waiting time.​"
4G,"What is the difference between 2G, 3G and 4G?","The main difference is in the internet speed. You’ll have a much better speed and experience while video streaming, browsing, and downloading...etc.​"
4G,"What will happen if I am in a location with no 4G coverage, while my device and SIM are 4G enabled, will I be disconnected?",You will automatically convert to the best available network whether 2G or 3G.​
4G,Will my device be always connected to 4G?,You’ll be connected to 4G whenever you are in a location covered with 4G.​
4G,Will I be able to disconnect my device from 4G connection?,"Yes, you can disconnect from 4G by following the steps on your device’s network settings where you can select automatic connection to all types of networks including the 4G or manually choose to be connected specifically to 3G or 2G.

​"
4G,How can I change the settings on my phone to get connected to 4G?," Apple iOS:
Go to “Settings”
Click on “Cellular”
Go to “Cellular Data Options”
From “Voice & Data”, choose “4G/LTE”
 Android:
Go to “Settings”
Choose “Connections”
Choose “Mobile Data/Mobile Networks”
Change the Network Mode to “4G/LTE”"
4G,"If I have Orange DSL, will I be able to benefit from 4G at home?","DSL is a different solution and its technology is totally different from 4G. 4G is a mobile network connectivity and to enjoy 4G on your Orange line, make sure that your device and SIM card are 4G enabled. You can also subscribe to any of the available Internet packages and enjoy 4G connection.

Click ​here​ to check the Inte​rnet packages, and to know which one is suitable for your needs."
4G,"Will my USB modem, Flybox or Mi-fi be automatically connected to 4G?","Your USB modems, flybox, MI-fi must be 4G enabled to connect to 4G.​"
Home 4G,What is Home 4G?,"They are home DSL packages that works on the fastest 4G network from Orange, they provide generous gigabyte allowances to meet all your home-based internet needs. Specially if you cannot subscribe to Home DSL packages through a landline.

​"
Home 4G,Do I have to be covered with 4G at home for Home 4G to work?,"Home 4G router supports both 3G & 4G technologies, noting that service only works using the provided Home 4G router."
Home 4G,"Network at my home is not that strong, will that affect the service?","If you have a single point at home where network is strong, just place your Home 4G router at this point and enjoy reliable internet connection across your home."
Home 4G,How can I track & Control my usage?,"You can manage your usage, recharge your credit, migrate between Home 4G packages and pay your bills by

-Use My Orange application http://onelink.to/cz2fb7

- Visiting https://notify.orange.eg/internet using your Home 4G service.

- Creating an account on orange.eg using this link 

- Or by dialing #100# via your Home 4G router interface by accessing 192.168.1.1 from chrome or Internet Explorer

And you can pay your bill through any of the available bill payment channels.

To know more about how to pay your bill or recharge your credit click here https://www.orange.eg/en/help/payment-facilities"
Deactivation & Recycling,When will the line get deactivated and recycled?,"Postpaid lines: The line will be deactivated after 180 days from last use. Customer can reactivate his line within 15 days after the 180-day period, after which the company has the right to cancel the contract and resell the line to another customer.

Prepaid lines: The line will be deactivated after 90 days from last use. Customer can reactivate his line within 15 days after the 90-day period, after which the company has the right to cancel the contract and resell the line to another customer."
stamp tax,What is the stamp tax?,"According to the Stamp Tax law and the law of Development of the State's Financial Resources, an annual fee of EGP8 instead of EGP6.10 will be paid by the subscribers of all mobile operators to the tax authority.

For postpaid subscribers, the whole stamp tax amount (EGP 8) is added to the subscriber's bill once every year and this has been the case in the past years.

For prepaid subscribers, starting from June 2020 the stamp tax amount will be deducted on instalments of 67pt every month to facilitate payment for subscribers.

In case of not enough credit, the available amount will be deducted and the rest will be deducted upon the next recharge. Also in case of not enough balance during the whole month, the 67pt will be carried over to the next month.

The Stamp Tax is an already existing tax, and this is only an increase in its value based on government’s decision. It’s applied on subscribers, as per the law, and being collected by Mobile operators.
According to the new tax law number 83 issued June 2020

Article 9 has been updated as follows:
Two pounds stamp duty for each document subject to the specific stamp tax on which the stamp tax shall be of five piasters or more."
